"run_name" "set_name" "set_score" "score_function"
"lepto_human_like_nau_8_primers_18_minTm_30_maxTm" "set_9868" 0.933531112125361 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_8_primers_18_minTm_30_maxTm" "set_6483" 0.871453293777575 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_7_primers_18_minTm_30_maxTm" "set_828" 0.865824205081394 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_7_primers_18_minTm_30_maxTm" "set_4175" 0.852586971955982 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_7_primers_18_minTm_30_maxTm" "set_1161" 0.851468761093362 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_6_primers_18_minTm_30_maxTm" "set_1345" 0.843641285055023 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_6_primers_18_minTm_30_maxTm" "set_1235" 0.804065875551499 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_8_primers_18_minTm_30_maxTm" "set_9841" 0.80118286931386 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_6_primers_18_minTm_30_maxTm" "set_3925" 0.793863786196055 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_5_primers_18_minTm_30_maxTm" "set_6529" 0.781654115320249 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_5_primers_18_minTm_30_maxTm" "set_7974" 0.76849675439931 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_5_primers_18_minTm_30_maxTm" "set_6543" 0.76470282468685 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
