"run_name" "set_name" "set_score" "score_function"
"lepto_human_like_nau_40_primers_30_minTm_42_maxTm" "set_7340" 0.964742418706613 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_35_primers_30_minTm_42_maxTm" "set_6449" 0.961153582838886 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_35_primers_30_minTm_42_maxTm" "set_8743" 0.959147789550603 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_30_primers_30_minTm_42_maxTm" "set_9374" 0.956920356001826 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_30_primers_30_minTm_42_maxTm" "set_3852" 0.95423250822068 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_6309" 0.947678799780782 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_3066" 0.920573392400438 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_25_primers_30_minTm_42_maxTm" "set_5905" 0.893428023383266 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_609" 0.870526833921975 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_2315" 0.85538708236918 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
"lepto_human_like_nau_20_primers_30_minTm_42_maxTm" "set_1074" 0.816362958226769 "avg_{mlst schemes}{0.75 * frac_loci_covered_assuming_5000bp_extension + 0.25 * frac_loci_covered_assuming_10000bp_extension}"
